Inpp4b.1	2.86E-13	-1.009781926	0.117	0.434	5.29E-09	2c-out	Inpp4b
Gabarapl2.1	3.16E-13	0.61465571	0.975	0.655	5.83E-09	2c-out	Gabarapl2
Gm11237.1	4.23E-13	-1.066749603	0.399	0.624	7.82E-09	2c-out	Gm11237
Gm2016.1	5.04E-13	-1.076868637	0.638	0.796	9.32E-09	2c-out	Gm2016
Usp17lc.1	5.88E-13	-0.920370273	0.153	0.447	1.09E-08	2c-out	Usp17lc
Gm11236.1	6.71E-13	-1.055270817	0.399	0.624	1.24E-08	2c-out	Gm11236
AC125149.3.1	8.54E-13	-0.643408325	0.006	0.279	1.58E-08	2c-out	AC125149.3
Zscan4-ps1.1	1.04E-12	-1.461168067	0.196	0.504	1.93E-08	2c-out	Zscan4-ps1
Cwc22.1	1.06E-12	-1.071076948	0.503	0.65	1.96E-08	2c-out	Cwc22
Gm11239.1	1.44E-12	-1.030785703	0.399	0.619	2.66E-08	2c-out	Gm11239
S100a6.1	2.42E-12	-0.733982945	0.902	0.907	4.47E-08	2c-out	S100a6
Lonp2.1	2.61E-12	-0.881822956	0.534	0.699	4.83E-08	2c-out	Lonp2
Lmx1a.1	2.80E-12	-0.77877495	0.067	0.358	5.17E-08	2c-out	Lmx1a
Gm21731.1	4.52E-12	-1.018126226	0.043	0.323	8.35E-08	2c-out	Gm21731
Atf2.1	5.26E-12	-0.976665852	0.436	0.646	9.72E-08	2c-out	Atf2
BC080695.1	5.27E-12	-1.131600192	0.35	0.597	9.75E-08	2c-out	BC080695
D10Wsu102e.1	8.84E-12	-1.000913549	0.411	0.615	1.63E-07	2c-out	D10Wsu102e
Prex2.1	1.13E-11	-1.048327599	0.245	0.518	2.08E-07	2c-out	Prex2
Aqr.1	1.29E-11	-1.017028636	0.54	0.673	2.38E-07	2c-out	Aqr
Gm12800.1	1.40E-11	-1.189553168	0.123	0.412	2.58E-07	2c-out	Gm12800
Gm12794.1	2.22E-11	-1.322161538	0.239	0.509	4.11E-07	2c-out	Gm12794
Gm11238.1	3.77E-11	-1.424057094	0.245	0.5	6.96E-07	2c-out	Gm11238
Gm19368.1	4.43E-11	-1.024228938	0.264	0.535	8.19E-07	2c-out	Gm19368
Dcc.1	6.40E-11	-1.042118875	0.147	0.42	1.18E-06	2c-out	Dcc
Zscan4-ps3.1	9.05E-11	-1.674895461	0.454	0.646	1.67E-06	2c-out	Zscan4-ps3
Arhgef26.1	1.13E-10	-0.782094584	0.38	0.593	2.09E-06	2c-out	Arhgef26
Gm10696.1	1.23E-10	-0.916377282	0.006	0.235	2.28E-06	2c-out	Gm10696
Gm49858.1	2.42E-10	-1.887218861	0.521	0.628	4.47E-06	2c-out	Gm49858
Gm45713.1	2.56E-10	-1.556638115	0.067	0.323	4.74E-06	2c-out	Gm45713
Olfr881.1	7.96E-10	-0.525768534	0.031	0.261	1.47E-05	2c-out	Olfr881
Dnajb14.1	9.41E-10	-0.927636051	0.35	0.571	1.74E-05	2c-out	Dnajb14
Gm2056.1	9.88E-10	-0.677438411	0.178	0.438	1.83E-05	2c-out	Gm2056
Cep57l1.1	1.66E-09	-0.688291157	0.239	0.473	3.07E-05	2c-out	Cep57l1
Gm7957.1	1.96E-09	-0.656143157	0.025	0.243	3.62E-05	2c-out	Gm7957
Spesp1.1	2.42E-09	-0.708096085	0.129	0.376	4.48E-05	2c-out	Spesp1
Zfp352.1	3.75E-09	-0.718610312	0.043	0.265	6.93E-05	2c-out	Zfp352
Dst.1	4.02E-09	-0.86906073	0.534	0.65	7.43E-05	2c-out	Dst
Gm13360.1	4.41E-09	-0.512327906	0.018	0.226	8.15E-05	2c-out	Gm13360
Robo1.1	4.66E-09	-0.657086752	0.129	0.367	8.61E-05	2c-out	Robo1
Ftl1.1	5.45E-09	-0.718534474	0.883	0.876	0.000100746	2c-out	Ftl1
Tsen2.1	7.31E-09	-0.693129056	0.552	0.655	0.000135108	2c-out	Tsen2
